Title	yearRelease	Rating	Cast	Votes	Link	no.Votes	movieURL	Director	Cast1	Cast2
The Shawshank Redemption	1994	9.2	Frank Darabont (dir.), Tim Robbins, Morgan Freeman	9.2 based on 1,884,579 user ratings	http://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1	1884579	[Movie URL](http://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1)	Frank Darabont	Tim Robbins	Morgan Freeman
The Godfather	1972	9.2	Francis Ford Coppola (dir.), Marlon Brando, Al Pacino	9.2 based on 1,286,677 user ratings	http://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2	1286677	[Movie URL](http://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2)	Francis Ford Coppola	Marlon Brando	Al Pacino
The Godfather: Part II	1974	9	Francis Ford Coppola (dir.), Al Pacino, Robert De Niro	9.0 based on 887,575 user ratings	http://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3	887575	[Movie URL](http://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3)	Francis Ford Coppola	Al Pacino	Robert De Niro
The Dark Knight	2008	9	Christopher Nolan (dir.), Christian Bale, Heath Ledger	9.0 based on 1,860,509 user ratings	http://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4	1860509	[Movie URL](http://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4)	Christopher Nolan	Christian Bale	Heath Ledger
12 Angry Men	1957	8.9	Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb	8.9 based on 517,017 user ratings	http://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5	517017	[Movie URL](http://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5)	Sidney Lumet	Henry Fonda	Lee J. Cobb
Schindler's List	1993	8.9	Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes	8.9 based on 968,914 user ratings	http://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6	968914	[Movie URL](http://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6)	Steven Spielberg	Liam Neeson	Ralph Fiennes
Pulp Fiction	1994	8.9	Quentin Tarantino (dir.), John Travolta, Uma Thurman	8.9 based on 1,474,181 user ratings	http://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7	1474181	[Movie URL](http://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7)	Quentin Tarantino	John Travolta	Uma Thurman
The Lord of the Rings: The Return of the King	2003	8.9	Peter Jackson (dir.), Elijah Wood, Viggo Mortensen	8.9 based on 1,346,700 user ratings	http://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8	1346700	[Movie URL](http://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8)	Peter Jackson	Elijah Wood	Viggo Mortensen
Il buono, il brutto, il cattivo	1966	8.8	Sergio Leone (dir.), Clint Eastwood, Eli Wallach	8.8 based on 558,307 user ratings	http://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9	558307	[Movie URL](http://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9)	Sergio Leone	Clint Eastwood	Eli Wallach
Fight Club	1999	8.8	David Fincher (dir.), Brad Pitt, Edward Norton	8.8 based on 1,510,493 user ratings	http://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10	1510493	[Movie URL](http://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10)	David Fincher	Brad Pitt	Edward Norton
The Lord of the Rings: The Fellowship of the Ring	2001	8.8	Peter Jackson (dir.), Elijah Wood, Ian McKellen	8.8 based on 1,366,940 user ratings	http://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11	1366940	[Movie URL](http://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11)	Peter Jackson	Elijah Wood	Ian McKellen
Forrest Gump	1994	8.7	Robert Zemeckis (dir.), Tom Hanks, Robin Wright	8.7 based on 1,422,069 user ratings	http://www.imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12	1422069	[Movie URL](http://www.imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12)	Robert Zemeckis	Tom Hanks	Robin Wright
Star Wars: Episode V - The Empire Strikes Back	1980	8.7	Irvin Kershner (dir.), Mark Hamill, Harrison Ford	8.7 based on 940,527 user ratings	http://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13	940527	[Movie URL](http://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13)	Irvin Kershner	Mark Hamill	Harrison Ford
Inception	2010	8.7	Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt	8.7 based on 1,649,521 user ratings	http://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14	1649521	[Movie URL](http://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14)	Christopher Nolan	Leonardo DiCaprio	Joseph Gordon-Levitt
The Lord of the Rings: The Two Towers	2002	8.7	Peter Jackson (dir.), Elijah Wood, Ian McKellen	8.7 based on 1,218,943 user ratings	http://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15	1218943	[Movie URL](http://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15)	Peter Jackson	Elijah Wood	Ian McKellen
One Flew Over the Cuckoo's Nest	1975	8.7	Milos Forman (dir.), Jack Nicholson, Louise Fletcher	8.7 based on 752,391 user ratings	http://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16	752391	[Movie URL](http://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16)	Milos Forman	Jack Nicholson	Louise Fletcher
Goodfellas	1990	8.7	Martin Scorsese (dir.), Robert De Niro, Ray Liotta	8.7 based on 812,075 user ratings	http://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17	812075	[Movie URL](http://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17)	Martin Scorsese	Robert De Niro	Ray Liotta
The Matrix	1999	8.7	Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne	8.7 based on 1,355,703 user ratings	http://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18	1355703	[Movie URL](http://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18)	Lana Wachowski	Keanu Reeves	Laurence Fishburne
Shichinin no samurai	1954	8.6	Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura	8.6 based on 253,946 user ratings	http://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19	253946	[Movie URL](http://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19)	Akira Kurosawa	Toshirô Mifune	Takashi Shimura
Star Wars	1977	8.6	George Lucas (dir.), Mark Hamill, Harrison Ford	8.6 based on 1,012,779 user ratings	http://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20	1012779	[Movie URL](http://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20)	George Lucas	Mark Hamill	Harrison Ford
Cidade de Deus	2002	8.6	Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino	8.6 based on 586,626 user ratings	http://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21	586626	[Movie URL](http://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21)	Fernando Meirelles	Alexandre Rodrigues	Leandro Firmino
Se7en	1995	8.6	David Fincher (dir.), Morgan Freeman, Brad Pitt	8.6 based on 1,149,334 user ratings	http://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22	1149334	[Movie URL](http://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22)	David Fincher	Morgan Freeman	Brad Pitt
The Silence of the Lambs	1991	8.6	Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins	8.6 based on 1,003,525 user ratings	http://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23	1003525	[Movie URL](http://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23)	Jonathan Demme	Jodie Foster	Anthony Hopkins
It's a Wonderful Life	1946	8.6	Frank Capra (dir.), James Stewart, Donna Reed	8.6 based on 311,571 user ratings	http://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24	311571	[Movie URL](http://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24)	Frank Capra	James Stewart	Donna Reed
La vita è bella	1997	8.6	Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi	8.6 based on 483,551 user ratings	http://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25	483551	[Movie URL](http://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25)	Roberto Benigni	Roberto Benigni	Nicoletta Braschi
The Usual Suspects	1995	8.6	Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne	8.6 based on 823,900 user ratings	http://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26	823900	[Movie URL](http://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26)	Bryan Singer	Kevin Spacey	Gabriel Byrne
Léon	1994	8.5	Luc Besson (dir.), Jean Reno, Gary Oldman	8.5 based on 817,806 user ratings	http://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27	817806	[Movie URL](http://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27)	Luc Besson	Jean Reno	Gary Oldman
Saving Private Ryan	1998	8.5	Steven Spielberg (dir.), Tom Hanks, Matt Damon	8.5 based on 991,624 user ratings	http://www.imdb.com/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28	991624	[Movie URL](http://www.imdb.com/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28)	Steven Spielberg	Tom Hanks	Matt Damon
Sen to Chihiro no kamikakushi	2001	8.5	Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette	8.5 based on 484,260 user ratings	http://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29	484260	[Movie URL](http://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29)	Hayao Miyazaki	Daveigh Chase	Suzanne Pleshette
American History X	1998	8.5	Tony Kaye (dir.), Edward Norton, Edward Furlong	8.5 based on 867,293 user ratings	http://www.imdb.com/title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30	867293	[Movie URL](http://www.imdb.com/title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30)	Tony Kaye	Edward Norton	Edward Furlong
Once Upon a Time in the West	1968	8.5	Sergio Leone (dir.), Henry Fonda, Charles Bronson	8.5 based on 242,251 user ratings	http://www.imdb.com/title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31	242251	[Movie URL](http://www.imdb.com/title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31)	Sergio Leone	Henry Fonda	Charles Bronson
Interstellar	2014	8.5	Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway	8.5 based on 1,116,154 user ratings	http://www.imdb.com/title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32	1116154	[Movie URL](http://www.imdb.com/title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32)	Christopher Nolan	Matthew McConaughey	Anne Hathaway
The Green Mile	1999	8.5	Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan	8.5 based on 892,526 user ratings	http://www.imdb.com/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33	892526	[Movie URL](http://www.imdb.com/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33)	Frank Darabont	Tom Hanks	Michael Clarke Duncan
Psycho	1960	8.5	Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh	8.5 based on 475,599 user ratings	http://www.imdb.com/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34	475599	[Movie URL](http://www.imdb.com/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34)	Alfred Hitchcock	Anthony Perkins	Janet Leigh
Casablanca	1942	8.5	Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman	8.5 based on 429,127 user ratings	http://www.imdb.com/title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35	429127	[Movie URL](http://www.imdb.com/title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35)	Michael Curtiz	Humphrey Bogart	Ingrid Bergman
City Lights	1931	8.5	Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill	8.5 based on 125,370 user ratings	http://www.imdb.com/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36	125370	[Movie URL](http://www.imdb.com/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36)	Charles Chaplin	Charles Chaplin	Virginia Cherrill
Coco	2017	8.5	Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal	8.5 based on 28,902 user ratings	http://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37	28902	[Movie URL](http://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37)	Lee Unkrich	Anthony Gonzalez	Gael García Bernal
The Intouchables	2011	8.5	Olivier Nakache (dir.), François Cluzet, Omar Sy	8.5 based on 589,157 user ratings	http://www.imdb.com/title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38	589157	[Movie URL](http://www.imdb.com/title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38)	Olivier Nakache	François Cluzet	Omar Sy
Modern Times	1936	8.5	Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard	8.5 based on 164,724 user ratings	http://www.imdb.com/title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39	164724	[Movie URL](http://www.imdb.com/title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=1MSXKXYY4G7K13T2XD6F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39)	Charles Chaplin	Charles Chaplin	Paulette Goddard
